session_id,timestamp,source_ip,destination_service,connection_count,packets_per_second,failed_login_count,successful_login_count,login_frequency,port_scan_count,command_frequency,database_query_count,sensitive_file_access,privilege_escalation_attempt,lateral_movement_score,data_access_volume,session_duration,attacker_sophistication,attack_stage,asset_criticality,detection_confidence,attack_label
SESS-DB3FB749,2026-09-05T15:35:41.859916Z,192.168.1.144,API:8080,8,15.79,0,1,0.0,0,5.14,5,0,0,0.028,9.07,711.9,0.19,S0,0.11,0.05,NORMAL
SESS-421C6359,2026-09-05T18:05:42.015446Z,124.121.119.54,API:8080,46,18.98,41,1,30.25,0,4.7,0,2,0,0.139,18.78,238.0,0.71,S3,0.72,0.77,CREDENTIAL_ATTACK
SESS-FDA01233,2026-09-05T22:39:42.063875Z,119.170.113.77,HTTPS:443,65,38.08,35,3,11.14,0,8.56,0,1,0,0.333,19.52,203.3,0.5,S3,0.68,0.76,CREDENTIAL_ATTACK
SESS-9CA91D35,2026-09-05T21:12:41.947617Z,89.169.33.37,RDP:3389,123,85.42,105,0,20.29,3,1.65,0,0,0,0.072,7.59,588.3,0.32,S2,0.82,0.88,BRUTE_FORCE
SESS-EAD8ADE0,2026-09-05T16:32:42.043352Z,110.92.128.118,SSH:22,70,129.36,29,1,10.98,0,0.04,2,1,0,0.281,20.23,322.1,0.76,S3,0.76,0.77,CREDENTIAL_ATTACK
SESS-DE2C5B98,2026-09-05T16:13:42.337596Z,10.0.4.110,PostgreSQL:5432,78,64.49,0,1,0.5,0,6.67,283,51,0,0.245,226.47,462.8,0.52,S6,0.93,0.91,DATA_ACCESS
SESS-27F06485,2026-09-06T09:21:42.156437Z,10.0.4.163,API:8080,88,38.24,2,1,1.0,0,11.04,225,11,0,0.288,44.93,446.5,0.65,S6,0.77,0.8,DB_PROBE
SESS-9C2B5F5D,2026-09-06T03:20:42.224403Z,10.0.4.183,API:8080,51,17.3,1,1,3.29,0,26.2,0,18,1,0.462,29.18,721.4,0.75,S4,0.8,0.9,PRIVILEGE_ESCALATION
SESS-BCBE7143,2026-09-06T06:37:41.844079Z,192.168.1.34,HTTPS:443,14,9.86,0,1,0.0,0,7.39,3,0,0,0.062,2.76,892.8,0.16,S0,0.5,0.06,NORMAL
SESS-43F1D34C,2026-09-05T22:47:42.333156Z,10.0.7.194,API:8080,111,34.05,0,1,0.5,0,10.13,274,51,0,0.473,151.24,1280.8,0.84,S6,0.99,0.94,DATA_ACCESS
SESS-8E9DF29D,2026-09-06T12:00:41.892021Z,192.168.1.129,API:8080,15,8.38,0,1,0.0,0,0.52,2,0,0,0.324,9.63,221.7,0.22,S0,0.48,0.02,NORMAL
SESS-4010EE5F,2026-09-06T10:31:41.982319Z,63.126.79.2,RDP:3389,141,113.7,101,0,47.43,0,0.92,0,0,0,0.32,2.24,223.9,0.47,S2,0.78,0.79,BRUTE_FORCE
SESS-E03B3EE7,2026-09-05T16:39:41.751313Z,192.168.1.58,DNS:53,12,21.12,0,1,0.0,0,0.26,7,0,0,0.102,8.11,879.0,0.29,S0,0.46,0.14,NORMAL
SESS-75F6C475,2026-09-05T23:04:41.880638Z,192.168.1.184,DNS:53,13,12.61,0,1,0.0,0,0.34,5,0,0,0.227,5.2,777.3,0.25,S0,0.49,0.08,NORMAL
SESS-6A0B1E72,2026-09-06T05:01:42.254799Z,10.0.5.77,SSH:22,132,157.39,4,2,6.0,35,16.16,0,10,0,0.906,47.77,701.4,0.7,S5,0.77,0.9,LATERAL_MOVEMENT
SESS-82DD8D7C,2026-09-06T01:55:41.842712Z,192.168.1.35,DNS:53,10,30.62,0,2,0.0,0,0.02,6,0,0,0.277,4.05,564.5,0.49,S0,0.27,0.03,NORMAL
SESS-AECC5FEC,2026-09-06T07:19:42.133498Z,10.0.9.16,PostgreSQL:5432,85,78.38,0,1,0.0,0,16.37,227,11,0,0.081,91.47,467.3,0.38,S6,0.9,0.92,DB_PROBE
SESS-3060596C,2026-09-05T22:58:42.272709Z,10.0.4.10,SMB:445,149,102.25,2,1,6.6,41,11.0,0,14,1,0.86,70.06,1320.9,0.58,S5,0.53,0.91,LATERAL_MOVEMENT
SESS-42FE7E23,2026-09-05T20:38:41.908959Z,69.168.93.221,SSH:22,110,106.57,0,0,0.0,137,0.85,0,0,0,0.128,5.27,111.9,0.34,S1,0.15,0.74,RECONNAISSANCE
SESS-2638D5A8,2026-09-06T00:30:41.771114Z,192.168.1.159,DNS:53,7,18.97,0,1,0.0,0,1.32,1,0,0,0.137,0.81,474.6,0.41,S0,0.39,0.02,NORMAL
SESS-62A23F5F,2026-09-06T05:12:41.661479Z,192.168.1.99,API:8080,10,8.97,0,1,0.0,0,0.59,4,0,0,0.271,2.26,638.1,0.15,S0,0.43,0.06,NORMAL
SESS-61E80CA8,2026-09-06T04:11:41.688233Z,192.168.1.245,DNS:53,8,61.84,0,1,0.0,0,0.8,4,0,0,0.14,3.98,122.6,0.66,S0,0.19,0.08,NORMAL
SESS-B8D22040,2026-09-06T02:39:42.328081Z,10.0.9.97,MySQL:3306,106,49.42,1,1,0.5,0,4.84,296,51,0,0.306,99.61,743.3,0.63,S6,0.88,0.96,DATA_ACCESS
SESS-5330FE8B,2026-09-06T04:27:41.982957Z,128.22.77.146,HTTPS:443,140,150.36,101,0,27.81,0,1.07,0,0,0,0.499,8.12,405.5,0.64,S2,0.73,0.95,BRUTE_FORCE
SESS-C14AB927,2026-09-06T06:10:41.682673Z,192.168.1.183,API:8080,8,28.32,0,2,0.0,0,1.32,3,0,0,0.091,8.41,370.6,0.35,S0,0.12,0.05,NORMAL
SESS-A74A3F84,2026-09-06T11:13:41.832508Z,192.168.1.238,API:8080,13,8.1,0,1,0.0,0,0.58,9,0,0,0.055,1.42,668.8,0.13,S0,0.42,0.01,NORMAL
SESS-ABD92D91,2026-09-06T07:10:42.362611Z,10.0.1.79,SSH:22,193,45.93,0,1,0.2,0,18.38,89,59,0,0.219,1058.23,2175.9,0.7,S7,0.97,0.89,EXFILTRATION
SESS-8FAB5B76,2026-09-06T09:43:42.282484Z,10.0.1.20,RDP:3389,144,106.2,2,1,7.76,41,11.66,0,12,0,0.776,74.9,303.1,0.66,S5,0.64,0.81,LATERAL_MOVEMENT
SESS-171F8678,2026-09-06T11:37:42.160794Z,10.0.8.97,API:8080,81,34.46,4,1,2.0,0,7.71,218,8,0,0.212,26.46,804.7,0.67,S6,0.81,0.89,DB_PROBE
SESS-FE686A0B,2026-09-05T22:27:42.111033Z,10.0.10.84,MySQL:3306,79,78.47,0,1,0.0,0,23.34,216,11,0,0.032,36.73,560.1,0.35,S6,0.72,0.83,DB_PROBE
SESS-CD2D6E7B,2026-09-06T12:15:42.240537Z,10.0.5.55,RDP:3389,47,19.36,1,1,2.09,0,28.82,0,12,4,0.447,16.57,279.8,0.57,S4,0.67,0.94,PRIVILEGE_ESCALATION
SESS-BEAE9E72,2026-09-06T01:37:41.765579Z,192.168.1.231,API:8080,14,11.63,2,2,0.42,0,2.72,10,0,0,0.135,4.91,707.3,0.08,S0,0.13,0.06,NORMAL
SESS-FAC87B55,2026-09-06T13:14:42.381000Z,10.0.2.21,HTTPS:443,191,310.07,0,1,0.2,0,17.3,87,74,0,0.333,1161.3,3336.2,0.52,S7,0.83,0.91,EXFILTRATION
SESS-34298036,2026-09-06T05:29:42.046090Z,186.162.46.85,SSH:22,62,16.03,30,1,16.61,0,7.99,2,0,0,0.266,16.94,255.4,0.56,S3,0.7,0.94,CREDENTIAL_ATTACK
SESS-2D5A3952,2026-09-05T23:41:42.234976Z,10.0.4.173,RDP:3389,41,23.04,1,1,1.94,0,43.53,3,14,5,0.352,34.88,447.8,0.53,S4,0.79,0.94,PRIVILEGE_ESCALATION
SESS-8544274A,2026-09-06T11:17:41.953123Z,160.48.65.243,RDP:3389,135,95.6,115,0,72.33,3,0.05,0,0,0,0.057,1.17,477.7,0.67,S2,0.6,0.85,BRUTE_FORCE
SESS-0D7391A9,2026-09-05T15:29:41.926157Z,186.87.185.191,RDP:3389,109,59.84,0,0,0.0,139,0.08,0,0,0,0.284,3.16,28.7,0.39,S1,0.13,0.75,RECONNAISSANCE
SESS-B67D0A29,2026-09-05T18:55:41.944786Z,58.191.78.118,SSH:22,107,272.15,1,0,0.3,149,4.6,0,0,0,0.236,2.61,65.9,0.43,S1,0.19,0.84,RECONNAISSANCE
SESS-F58427F6,2026-09-05T15:42:42.035194Z,179.8.40.160,SSH:22,76,28.47,44,1,21.54,0,8.22,5,0,0,0.175,13.49,771.1,0.5,S3,0.49,0.91,CREDENTIAL_ATTACK
SESS-2914770D,2026-09-06T09:10:42.188407Z,10.0.4.135,RDP:3389,52,8.94,1,1,2.88,0,17.84,8,10,3,0.629,26.51,718.1,0.78,S4,0.62,0.9,PRIVILEGE_ESCALATION
SESS-C9B2A111,2026-09-06T01:50:42.180555Z,10.0.6.179,API:8080,75,45.62,2,1,1.0,0,11.76,221,9,1,0.352,26.2,358.4,0.72,S6,0.87,0.82,DB_PROBE
SESS-30255AD0,2026-09-05T16:20:41.957876Z,87.82.38.100,RDP:3389,146,27.95,82,0,74.8,3,1.01,0,0,0,0.253,4.1,124.8,0.28,S2,0.78,0.98,BRUTE_FORCE
SESS-0623347B,2026-09-06T05:06:41.915011Z,88.147.2.250,HTTPS:443,108,138.93,0,0,0.0,157,4.99,0,0,0,0.084,3.76,144.7,0.54,S1,0.14,0.94,RECONNAISSANCE
SESS-CD1CB2E4,2026-09-06T12:15:41.972698Z,105.169.96.96,SSH:22,137,80.65,102,0,56.99,0,0.11,0,0,0,0.135,1.54,317.3,0.29,S2,0.74,0.89,BRUTE_FORCE
SESS-D840C021,2026-09-06T04:50:41.981340Z,209.143.171.42,RDP:3389,130,107.03,121,0,19.13,0,0.58,0,0,0,0.279,6.33,205.8,0.54,S2,0.82,0.83,BRUTE_FORCE
SESS-AEB8D738,2026-09-05T19:20:41.964952Z,58.253.154.199,RDP:3389,137,55.25,112,0,17.86,3,0.44,0,0,0,0.266,5.73,512.5,0.42,S2,0.65,0.91,BRUTE_FORCE
SESS-7822BD82,2026-09-06T01:59:41.823896Z,192.168.1.187,HTTPS:443,12,4.8,0,1,0.0,0,1.18,6,0,0,0.076,11.65,441.6,0.15,S0,0.49,0.05,NORMAL
SESS-58ACAD49,2026-09-06T09:13:42.012417Z,155.85.106.56,SSH:22,59,15.39,33,1,12.33,0,1.32,0,0,0,0.368,10.66,720.3,0.75,S3,0.72,0.92,CREDENTIAL_ATTACK
SESS-803BA124,2026-09-06T07:09:41.882664Z,192.168.1.202,API:8080,15,10.2,0,2,0.0,0,1.62,4,0,0,0.052,3.72,200.7,0.18,S0,0.42,0.01,NORMAL
SESS-A2699F48,2026-09-05T22:08:41.918164Z,50.24.221.230,HTTPS:443,102,105.9,0,0,0.0,131,6.49,0,0,0,0.395,3.73,186.1,0.48,S1,0.44,0.9,RECONNAISSANCE
SESS-64DBE152,2026-09-05T22:45:41.650609Z,192.168.1.145,DNS:53,21,10.94,0,2,0.0,0,1.98,9,0,0,0.141,1.38,874.8,0.24,S0,0.15,0.14,NORMAL
SESS-55821133,2026-09-06T07:40:41.819287Z,192.168.1.143,DNS:53,15,9.72,0,1,0.0,0,0.12,6,0,0,0.065,12.12,475.7,0.19,S0,0.39,0.07,NORMAL
SESS-0D5E21BF,2026-09-06T12:09:41.683620Z,192.168.1.46,HTTPS:443,18,29.72,0,2,0.0,0,0.22,4,0,0,0.287,2.6,780.1,0.17,S0,0.31,0.13,NORMAL
SESS-9A51CDCD,2026-09-05T20:03:42.382204Z,10.0.1.80,DNS:53,184,264.29,0,1,0.2,0,32.91,93,63,0,0.263,2285.76,1966.4,0.54,S7,0.76,0.96,EXFILTRATION
SESS-A1DBA73A,2026-09-06T12:54:42.317061Z,10.0.3.56,RDP:3389,144,128.34,8,4,4.15,43,12.1,12,12,2,0.761,7.21,1052.7,0.92,S5,0.64,0.85,LATERAL_MOVEMENT
SESS-86D3BE9F,2026-09-05T17:29:41.978073Z,172.190.79.219,HTTPS:443,147,62.64,123,0,42.59,1,1.71,0,0,0,0.131,10.77,173.5,0.32,S2,0.78,0.89,BRUTE_FORCE
SESS-A8742580,2026-09-06T05:56:42.183696Z,10.0.1.57,API:8080,49,12.34,2,1,1.07,0,51.2,3,15,4,0.473,31.53,873.3,0.56,S4,0.56,0.83,PRIVILEGE_ESCALATION
SESS-80AF39CC,2026-09-05T17:30:42.313993Z,10.0.4.30,RDP:3389,134,121.14,4,1,6.55,45,21.62,0,8,2,0.752,121.75,696.6,0.73,S5,0.71,0.91,LATERAL_MOVEMENT
SESS-906FFDA4,2026-09-05T15:51:41.904229Z,77.44.3.19,HTTPS:443,118,35.23,0,0,0.0,169,0.95,0,0,0,0.247,4.77,124.7,0.27,S1,0.49,0.87,RECONNAISSANCE
SESS-FCD01763,2026-09-06T08:06:42.222607Z,10.0.5.85,API:8080,46,35.62,3,1,1.57,0,29.87,3,14,3,0.535,21.04,666.1,0.85,S4,0.85,0.84,PRIVILEGE_ESCALATION
SESS-22332A59,2026-09-06T07:41:41.908725Z,81.173.70.134,API:8080,109,105.7,0,0,0.0,140,0.22,0,0,0,0.367,5.05,247.8,0.25,S1,0.3,0.75,RECONNAISSANCE
SESS-F714C16A,2026-09-06T12:18:42.330664Z,10.0.1.216,PostgreSQL:5432,111,67.45,1,1,0.5,0,14.78,285,55,0,0.481,280.34,727.7,0.78,S6,0.89,0.93,DATA_ACCESS
SESS-4C45D8D2,2026-09-05T19:52:42.091291Z,10.0.8.189,PostgreSQL:5432,81,44.65,4,1,2.0,0,17.86,224,11,0,0.492,52.16,529.5,0.84,S6,0.9,0.92,DB_PROBE
SESS-F9C8C2D9,2026-09-05T18:01:42.120075Z,10.0.8.82,MySQL:3306,92,31.21,2,1,1.0,0,11.88,233,16,1,0.504,27.26,288.1,0.72,S6,0.77,0.81,DB_PROBE
SESS-F9F2CFC4,2026-09-06T07:27:41.868464Z,192.168.1.231,API:8080,14,11.63,0,1,0.0,0,1.85,6,0,0,0.017,1.8,669.8,0.28,S0,0.4,0.12,NORMAL
SESS-33B5EF66,2026-09-05T23:39:41.944811Z,168.84.230.38,SSH:22,93,129.02,3,0,1.6,156,1.29,0,0,0,0.45,2.92,99.2,0.26,S1,0.42,0.88,RECONNAISSANCE
SESS-83D6621D,2026-09-06T13:41:42.185090Z,10.0.3.114,SSH:22,42,46.59,1,1,2.38,0,33.07,0,11,5,0.38,31.23,500.5,0.51,S4,0.67,0.95,PRIVILEGE_ESCALATION
SESS-88FA842F,2026-09-06T02:48:42.351673Z,10.0.9.71,PostgreSQL:5432,100,28.26,0,1,0.5,0,14.03,291,43,0,0.431,268.41,1290.8,0.95,S6,0.98,0.87,DATA_ACCESS
SESS-D46DDBDB,2026-09-05T22:03:42.113156Z,10.0.10.130,MySQL:3306,92,42.59,4,1,2.0,0,11.71,226,14,0,0.168,112.69,262.8,0.23,S6,0.84,0.91,DB_PROBE
SESS-09F9BA1A,2026-09-06T07:09:42.255205Z,10.0.4.67,SSH:22,122,186.03,2,1,5.35,40,11.98,0,14,2,0.723,144.03,481.0,0.78,S5,0.44,0.92,LATERAL_MOVEMENT
SESS-3430F5AE,2026-09-05T21:10:41.874038Z,192.168.1.174,DNS:53,17,13.72,0,2,0.0,0,0.09,2,0,0,0.213,3.14,752.1,0.14,S0,0.29,0.11,NORMAL
SESS-75ED4981,2026-09-06T14:40:42.376576Z,10.0.2.37,HTTPS:443,151,249.61,0,1,0.2,0,8.54,85,69,0,0.499,1064.09,1123.8,0.69,S7,0.87,0.89,EXFILTRATION
SESS-EB28E39B,2026-09-06T00:09:42.348362Z,10.0.3.172,API:8080,82,66.98,1,1,0.5,0,11.68,279,56,0,0.464,306.54,1638.7,0.63,S6,0.99,0.86,DATA_ACCESS
SESS-8BB809DC,2026-09-06T14:17:42.224303Z,10.0.2.196,RDP:3389,54,33.88,5,1,2.08,0,68.83,0,13,8,0.073,30.67,778.3,0.95,S4,0.82,0.84,PRIVILEGE_ESCALATION
SESS-4CE0D798,2026-09-05T16:00:41.913887Z,118.116.46.126,SSH:22,96,125.37,1,0,0.9,145,1.27,0,0,0,0.59,4.21,272.4,0.29,S1,0.29,0.76,RECONNAISSANCE
SESS-3C0F60F4,2026-09-06T02:58:42.235378Z,10.0.1.162,SSH:22,46,15.67,1,1,1.2,0,40.17,0,8,2,0.416,5.83,685.2,0.43,S4,0.68,0.89,PRIVILEGE_ESCALATION
SESS-CEE31510,2026-09-05T22:25:41.923915Z,121.48.252.33,RDP:3389,88,280.66,3,0,0.69,165,4.48,0,0,0,0.117,2.13,34.0,0.11,S1,0.16,0.78,RECONNAISSANCE
SESS-E76BB7F9,2026-09-06T00:26:42.283923Z,10.0.4.50,RDP:3389,126,79.87,2,2,7.4,53,12.07,5,11,1,0.901,116.82,1390.5,0.59,S5,0.68,0.93,LATERAL_MOVEMENT
SESS-43B1CB0A,2026-09-06T14:22:41.948580Z,158.174.131.239,HTTPS:443,120,41.39,109,0,15.27,0,2.46,0,0,0,0.143,5.49,585.4,0.3,S2,0.79,0.95,BRUTE_FORCE
SESS-B9FE11DD,2026-09-05T17:10:42.193942Z,10.0.3.107,API:8080,46,41.67,3,1,3.27,0,32.94,3,18,3,0.312,7.08,390.9,0.7,S4,0.54,0.83,PRIVILEGE_ESCALATION
SESS-5E960CA8,2026-09-05T22:00:41.976096Z,121.83.198.188,RDP:3389,128,70.93,100,0,20.03,1,0.05,0,0,0,0.114,1.5,377.6,0.16,S2,0.58,0.97,BRUTE_FORCE
SESS-BD9A318E,2026-09-05T15:30:42.146541Z,10.0.3.237,MySQL:3306,86,28.64,1,1,0.5,0,21.77,218,9,1,0.514,65.5,233.8,0.4,S6,0.87,0.83,DB_PROBE
SESS-D0E8255D,2026-09-06T05:15:42.377931Z,10.0.4.62,HTTPS:443,181,379.52,0,1,0.2,0,8.48,94,56,0,0.221,1351.65,3346.6,0.83,S7,0.91,0.88,EXFILTRATION
SESS-0D26B205,2026-09-06T02:32:42.122760Z,10.0.6.30,PostgreSQL:5432,83,43.35,1,1,0.5,0,14.69,238,15,0,0.378,61.06,1013.6,0.76,S6,0.75,0.94,DB_PROBE
SESS-AF389E08,2026-09-05T23:24:41.742239Z,192.168.1.69,API:8080,20,9.89,0,2,0.0,0,0.3,11,0,0,0.09,2.76,343.3,0.15,S0,0.11,0.07,NORMAL
SESS-070F28F8,2026-09-05T15:35:41.996994Z,123.220.254.241,HTTPS:443,143,55.72,95,0,46.86,0,0.98,0,0,0,0.535,3.69,493.5,0.57,S2,0.63,0.83,BRUTE_FORCE
SESS-55314BAD,2026-09-06T02:56:42.073900Z,84.224.175.234,HTTPS:443,70,63.74,42,1,35.19,0,0.51,0,1,0,0.141,17.59,649.4,0.41,S3,0.57,0.87,CREDENTIAL_ATTACK
SESS-FF3A5089,2026-09-06T07:30:42.328910Z,10.0.9.145,API:8080,103,130.07,0,1,0.5,0,9.08,276,56,0,0.349,54.8,1832.4,0.95,S6,0.76,0.91,DATA_ACCESS
SESS-03F1F4CA,2026-09-06T03:25:41.867417Z,192.168.1.102,DNS:53,10,17.35,0,1,0.0,0,0.11,2,0,0,0.065,2.29,896.2,0.47,S0,0.14,0.07,NORMAL
SESS-DD27AC4C,2026-09-05T23:13:42.378799Z,10.0.1.11,DNS:53,181,346.54,0,1,0.2,0,27.08,93,55,0,0.725,2143.14,2305.4,0.5,S7,0.88,0.9,EXFILTRATION
SESS-AA450688,2026-09-06T02:25:41.849087Z,192.168.1.190,HTTPS:443,7,7.48,0,1,0.0,0,0.21,3,0,0,0.355,6.89,301.1,0.34,S0,0.46,0.14,NORMAL
SESS-97940C98,2026-09-06T03:13:41.884375Z,192.168.1.117,API:8080,13,8.13,0,1,0.0,0,0.91,2,0,0,0.286,2.95,854.4,0.28,S0,0.48,0.07,NORMAL
SESS-E428289E,2026-09-06T09:02:42.035308Z,219.91.145.111,API:8080,72,23.95,52,1,20.7,0,1.62,0,0,0,0.109,9.37,125.4,0.44,S3,0.49,0.96,CREDENTIAL_ATTACK
SESS-7EDB4AFF,2026-09-05T20:50:42.235852Z,10.0.5.87,SSH:22,41,16.72,3,1,1.65,0,27.55,0,12,2,0.684,20.1,672.0,0.91,S4,0.73,0.9,PRIVILEGE_ESCALATION
SESS-A8A6819B,2026-09-06T13:08:42.056768Z,198.97.196.154,SSH:22,59,84.55,43,2,11.48,0,1.43,0,0,0,0.191,21.65,376.2,0.68,S3,0.69,0.92,CREDENTIAL_ATTACK
SESS-4AF4136C,2026-09-05T23:26:41.673394Z,192.168.1.212,HTTPS:443,7,19.82,2,1,1.09,0,2.54,8,0,0,0.069,4.97,865.0,0.37,S0,0.35,0.13,NORMAL
SESS-9AB0269B,2026-09-06T00:57:41.854952Z,192.168.1.14,HTTPS:443,11,37.88,0,2,0.0,0,0.76,5,0,0,0.061,5.64,557.6,0.31,S0,0.33,0.08,NORMAL
SESS-27D91EC0,2026-09-05T21:00:41.828077Z,192.168.1.184,DNS:53,14,4.52,0,2,0.0,0,0.58,12,0,0,0.123,13.3,369.6,0.09,S0,0.25,0.11,NORMAL
SESS-4296E68C,2026-09-06T00:42:41.654417Z,192.168.1.129,API:8080,9,16.47,0,1,0.0,0,0.13,6,0,0,0.045,12.21,872.6,0.14,S0,0.36,0.12,NORMAL
SESS-6CD75C77,2026-09-06T01:40:42.373131Z,10.0.5.65,HTTPS:443,197,126.16,0,1,0.2,0,17.39,100,65,0,0.711,1424.29,1312.1,0.93,S7,0.84,0.9,EXFILTRATION
SESS-9B8FB859,2026-09-05T16:50:41.919568Z,92.171.114.203,SSH:22,89,167.39,0,0,0.0,145,2.39,0,0,0,0.239,4.32,143.8,0.45,S1,0.33,0.88,RECONNAISSANCE
SESS-ED89C115,2026-09-06T07:29:42.368915Z,10.0.4.36,DNS:53,170,532.79,0,1,0.2,0,31.37,98,59,0,0.305,1371.97,2610.7,0.68,S7,0.71,0.92,EXFILTRATION
SESS-7E7A1FF6,2026-09-06T05:27:41.668310Z,192.168.1.95,DNS:53,19,27.22,0,2,0.0,0,7.34,5,0,0,0.045,12.02,783.8,0.28,S0,0.29,0.02,NORMAL
SESS-781ED99D,2026-09-06T10:46:42.152421Z,10.0.2.52,MySQL:3306,76,31.25,1,1,0.5,0,27.01,236,12,0,0.147,7.9,983.8,0.67,S6,0.86,0.82,DB_PROBE
SESS-C3DEA33D,2026-09-06T11:19:42.373019Z,10.0.1.78,SSH:22,186,168.53,0,1,0.2,0,37.21,91,70,0,0.169,1478.73,1771.6,0.83,S7,0.9,0.98,EXFILTRATION
SESS-CBF81AAC,2026-09-05T20:09:42.362499Z,10.0.2.44,SSH:22,193,126.16,0,1,0.2,0,17.09,81,59,0,0.585,2588.53,468.6,0.91,S7,0.73,0.98,EXFILTRATION
SESS-AED651FE,2026-09-06T13:21:42.228334Z,10.0.1.81,RDP:3389,50,38.16,1,1,1.36,0,33.64,3,12,3,0.48,37.78,355.8,0.87,S4,0.76,0.91,PRIVILEGE_ESCALATION
SESS-CF39A389,2026-09-06T02:03:41.998461Z,156.19.165.110,RDP:3389,128,117.51,114,0,87.11,0,2.95,0,0,0,0.116,2.05,245.1,0.61,S2,0.48,0.88,BRUTE_FORCE
SESS-F8305D32,2026-09-06T13:41:42.231259Z,10.0.4.64,API:8080,53,9.68,2,1,2.56,0,35.9,8,12,2,0.638,19.05,135.9,0.6,S4,0.75,0.85,PRIVILEGE_ESCALATION
SESS-D352ECC7,2026-09-06T01:53:42.117448Z,10.0.7.189,MySQL:3306,93,41.2,4,1,2.0,0,19.07,224,3,0,0.041,36.02,977.6,0.73,S6,0.79,0.95,DB_PROBE
SESS-84B1B072,2026-09-05T23:15:42.371173Z,10.0.3.35,HTTPS:443,188,301.35,0,1,0.2,0,27.31,104,61,0,0.126,2189.01,2703.7,0.88,S7,0.74,0.95,EXFILTRATION
SESS-7DC09406,2026-09-05T23:09:42.045969Z,60.65.194.105,SSH:22,57,126.62,37,1,10.36,0,6.11,0,0,0,0.352,2.03,575.2,0.73,S3,0.5,0.8,CREDENTIAL_ATTACK
SESS-B4E09C88,2026-09-05T18:55:42.037626Z,167.250.108.106,HTTPS:443,68,41.71,37,2,16.29,0,1.67,2,0,0,0.601,6.01,701.0,0.54,S3,0.8,0.96,CREDENTIAL_ATTACK
SESS-CEB9D40B,2026-09-06T12:46:42.385020Z,10.0.3.57,HTTPS:443,180,244.14,0,1,0.2,0,15.47,81,75,0,0.327,1451.18,736.3,0.78,S7,0.88,0.99,EXFILTRATION
SESS-1790365E,2026-09-05T23:55:42.328836Z,10.0.2.78,SMB:445,101,31.64,0,1,0.5,0,13.98,272,44,0,0.25,396.89,1941.0,0.35,S6,1.0,0.96,DATA_ACCESS
SESS-F2C1878B,2026-09-05T15:34:42.303466Z,10.0.2.72,SMB:445,145,131.88,4,1,4.16,38,6.91,5,10,0,0.956,81.36,629.4,0.62,S5,0.64,0.9,LATERAL_MOVEMENT
SESS-D621BFEC,2026-09-06T00:15:41.789730Z,192.168.1.146,DNS:53,15,41.25,0,3,0.0,0,8.31,6,0,0,0.032,3.66,180.8,0.16,S0,0.16,0.03,NORMAL
